Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲥⲣ-ⲙⲗⲁϩ ⲉⲃⲟⲗ						#ERROR!			to set up battle-array
ϫⲓ-ⲙⲗⲁϩ									to fight
ⲣⲉϥϫⲓ-ⲙⲗⲁϩ									fighter
ⲙⲙⲁⲩ							adv.	Sometimes without translation value (§	there, in that place; from there, therefrom; thence
ⲉⲃⲟⲗ ⲙⲙⲁⲩ									thence, from there
ⲉⲙⲁⲩ									thither, to there
ⲙⲙⲁϩ							prep.		before (a deity; in making offerings)
ⲙⲙⲓⲛ					ⲙⲙⲟ=		intens. Pronoun	appositional to a preceding pron. See §28.3.	
ⲡⲁⲏⲓ ⲙⲙⲓⲛ ⲙⲙⲟⲓ									my own house
ⲙⲙⲟⲛ							adv. Or conj.		for, for surely
ⲙⲛ					ⲛⲙⲙⲁ=		prep.		with, together with, in the company of
ⲙⲛ					ⲛⲙⲙⲁ=		conj.	usu. Joining nouns; sometimes aus m=n. (	and
ⲙⲛ-	ⲙⲙⲛ-			ⲙⲛ-				used before indef. Subj. in Present System (§18.1)	pred. of nonexistence: there is/are not (§2.2)
ⲙⲙⲟⲛ	ⲙⲟⲛ						neg. part.		no (in answer to question)
(ⲉϣⲱⲡⲉ) ⲙⲙⲟⲛ							adv.		if not, otherwise
ϫⲛ ⲙⲙⲟⲛ	ϫⲓⲛ ⲙⲙⲟⲛ								or rather, rather than
ⲙⲛⲟⲩⲧ		ⲙⲛⲟⲧⲉ, ⲙⲛⲟⲟⲧⲉ					n. m. f.		porter, doorkeeper
ⲡ.ⲙⲛⲧ							n. m.		a grain-measure
ⲙⲛⲧ-				ⲙⲛⲧ-			prefix. F.	see §27.2.	for forming abstract nouns
ⲙⲛⲧ-				ⲙⲛⲧ-			prefix	§24.3.	prefix for forming 'teens
ⲙⲛⲧⲉ					ⲙⲛⲧⲁ=			§22.1.	neg. of pred. of possession. Also used as nonliterary vb. Prefix: lest, that not, unless
ⲡ.ⲙⲛⲧⲣⲉ	ⲙⲉⲧⲣⲏ		ⲙⲛⲧⲣⲉⲉⲩ				n. m.		witness, testimony
ⲧ.ⲙⲛⲧ-ⲙⲛⲧⲣⲉ							n. f.		testimony
ⲣ-ⲛⲧⲣⲉ									to testify, bear witness; to testify (about: ⲙⲙⲟ/, etbe, ⲉϫⲛ; to a person: ⲛⲁ/; against: ⲉ; for, in behalf of: ⲉ, ha, ⲙⲛ)
ⲙⲟ			ⲙⲙⲏⲉⲓⲧⲛ				imptv. Vb.	sing. Mo> mw> =mmo	take! (e)
ⲡ.ⲙⲟⲉⲓⲧ							n. m.		road, path; rarely: place
ⲙⲟⲉⲓⲧ ⲛ ⲉⲓ ⲉϩⲟⲩⲛ									entrance
ⲙⲟⲉⲓⲧ ⲛ ⲉⲓ ⲉⲃⲟⲗ									exit
ϫⲓ-ⲙⲟⲉⲓⲧ ϩⲏⲧ_									to lead, guide
ⲣⲉϥϫⲓ-ⲙⲟⲉⲓⲧ									leader, guide
ϫⲁⲩ-ⲙⲟⲉⲓⲧ									leader, guide
ⲙⲛⲧ-ⲣⲉϥϫⲁⲩ-ⲙⲟⲉⲓⲧ									leadership
ⲣ-ϫⲁⲩ-ⲙⲟⲉⲓⲧ									to be leader
ⲙⲟⲉⲓⲧ ⲙ ⲙⲟⲟϣⲉ									track, path
ⲡ.ⲙⲟⲉⲓϩ	ⲙⲟⲓⲁϩ						n. m.		name of a measure
ⲙⲟⲉⲓϩⲉ	ⲙⲟⲓϩⲉ						n. m. f.		wonder
ⲣ-ⲙⲟⲉⲓϩⲉ									to wonder, be astonished (at: ⲛ, ⲉϫⲛ ,ϩⲛ)
ⲙⲟⲕⲙⲉⲕ					ⲙⲉⲕⲙⲟⲩ=		vb. intr.		to think, ponder, meditate; to intend (to do: ⲉtre)
ⲙⲟⲕⲙⲉⲕ					ⲙⲉⲕⲙⲟⲩ=		reflex.		to think, ponder, meditate; to intend (to do: ⲉtre); to consider (that: je)
ⲙⲟⲕⲙⲉⲕ ⲉⲃⲟⲗ ⲉ									to reflect on, ponder
ⲡ.ⲙⲟⲕⲙⲉⲕ ⲉⲃⲟⲗ ⲉ							n. m.		thought
ⲁⲧⲙⲟⲕⲙⲉⲕ									unthinkable, inconceivable (ⲉⲣⲟ/)
ⲧ.ⲙⲟⲟⲛⲉ							n. f.		nurse
ⲙⲟⲟⲛⲉ							adj.		foster-
ⲙⲟⲟⲛⲉ				ⲙⲉⲛⲉ-		ⲙⲁⲛⲟⲟⲩⲧ (+/- ⲉϩⲟⲩⲛ)	vb. Tr.		to bring into port, bring to land (ⲙⲙⲟ/; to: ⲉ)
ⲙⲟⲟⲛⲉ				ⲙⲉⲛⲉ-		ⲙⲁⲛⲟⲟⲩⲧ (+/- ⲉϩⲟⲩⲛ)	vb. Intr.		to come to port, moor (to: ⲉ)
ⲙⲁ ⲙ ⲙⲟⲟⲛⲉ									harbor
ⲙⲟⲟⲛⲉ	ⲙⲁⲛⲟⲩⲟⲩ=			ⲙⲉⲛⲉ-	ⲙⲁⲛⲟ=		vb. Tr.	p. c. mane-	to tend, feed, shepherd (ⲙⲙⲟ/); to feed on, devour (ⲙⲙⲟ/)
ⲙⲟⲟⲛⲉ	ⲙⲁⲛⲟⲩⲟⲩ=			ⲙⲉⲛⲉ-	ⲙⲁⲛⲟ=		vb. Intr.		to feed, graze (subj. cattle)
ⲙⲁ ⲙ ⲙⲟⲟⲛⲉ									pasture
ⲣⲉϥⲙⲟⲟⲛⲉ									shepherd
ⲙⲛⲧⲣⲉϥⲙⲟⲟⲛⲉ									shepherding
ⲡ.ⲙⲁⲛⲉ  ⲙⲁⲛ-			ⲙⲁⲛⲏⲩ				n. m.		herdsman, shepherd
ⲡ.ⲙⲟⲟⲩ			ⲙⲟⲩⲉⲓⲏ, ⲙⲟⲩⲏⲉⲓⲉ,  ⲙⲟⲩⲉⲓⲟⲟⲩⲉ,  ⲙⲟⲩⲛⲉⲓⲟⲟⲩⲉ				n. m.		water; spec. the Nile inundation. In cpds. May mean juice, exudation, semen, urine
ⲁⲧⲙⲟⲟⲩ									waterless
ⲙⲉⲥⲙⲟⲟⲩ									water-containing
ⲙⲉϩ-ⲙⲟⲟⲩ									to draw water
ⲙⲁ ⲙ ⲙⲉϩ-ⲙⲟⲟⲩ									place to draw water
ⲣⲉϥⲙⲉϩ-ⲙⲟⲟⲩ									water-drawer
ⲣ-ⲙⲟⲟⲩ									to become water, liquify
ⲥⲉⲕ-ⲙⲟⲟⲩ									to draw water
ⲥⲣ-ⲙⲟⲟⲩ									to distribute water
ϯ-ⲙⲟⲟⲩ									to give water
ⲙⲁ ⲛ ϯ-ⲙⲟⲟⲩ									water source
ⲧⲉⲥ-ⲙⲟⲟⲩ									to slake
ⲃⲁⲓⲙⲟⲟⲩ									water-bearer
ϫⲓ-ⲙⲟⲟⲩ									to receiver water
ϩⲓ-ⲙⲟⲟⲩ									to rain
ⲙⲟⲟϣⲉ	ⲙⲟϣⲉ						vb. Intr.	used with many prep. And adv. In normal senses	to walk, go
ⲡ.ⲙⲟⲟϣⲉ	ⲙⲟϣⲉ						n. m.		going, journey
ⲙⲟⲟϣⲉ ⲙⲛ									to consort with
ⲙⲟⲟϣⲉ ⲛⲥⲁ									to be in the following of
ⲁⲧⲙⲟⲟϣⲉ									pathless
ⲙⲁ ⲙ ⲙⲟⲟϣⲉ									road, path
ⲙⲟⲉⲓⲧ ⲙ ⲙⲟⲟϣⲉ									road, journey
ϩⲓⲛ ⲙ ⲙⲟⲟϣⲉ									road, path
ⲣ-ϩⲓⲛ ⲙ ⲙⲟⲟϣⲉ									to go, walk
ϩⲟⲟⲩ ⲙ ⲙⲟⲟϣⲉ									day's journey
ⲧ.ⲙⲟⲣⲧ							n. f.		beard
ⲁⲧⲙⲟⲣⲧ									beardless
ⲣ-ⲙⲟⲣⲧ									to grow beard
ⲙⲟⲥⲧⲉ				ⲙⲉⲥⲧⲉ-	ⲙⲉⲥⲧⲱ=		vb. Tr.	p. c. mac=t-	to hate (ⲙⲙⲟ/)
ⲡ.ⲙⲟⲥⲧⲉ				ⲙⲉⲥⲧⲉ-	ⲙⲉⲥⲧⲱ=		n. m.		hatred, object of hatred
ⲙⲁⲥⲧ-								in cpd.	hater of
ϣⲟⲩ-ⲙⲟⲥⲧⲉ									deserving of hatred
ⲡ.ⲙⲉⲥⲧⲉ		ⲙⲉⲥⲧⲏ					n. m.		hated person
ⲙⲟⲩ						ⲙⲟⲟⲩⲧ	vb. Intr.		to die (of: ⲉtbe, ⲛⲧⲛ, ha, ϩⲛ, hitⲛ; for:ⲉϫⲛ)
ⲡ.ⲙⲟⲩ							n. m.		death; plague, pestilence
ⲣⲉϥⲙⲟⲩ							adj.		mortal, dead
ⲙⲛⲧⲣⲉϥⲙⲟⲩ									mortality
ⲣⲉϥⲙⲟⲟⲩⲧ									dead person or thing
ⲡⲁϣ-ⲙⲟⲩ							adj.		half-dead
ⲁⲧⲙⲟⲩ									immortal
ⲙⲛⲧⲁⲧⲙⲟⲩ									immortality
ⲧ.ⲙⲟⲩⲉ	ⲙⲟⲩⲉⲓ, ⲙⲟⲩ, ⲙⲟⲩⲓ						n. f.		island (usu. In Nile)
ⲙⲟⲩⲓ	ⲙⲟⲩⲉⲓ						n. m. f.		lion(ess)
ⲙⲁⲥ ⲙ ⲙⲟⲩⲓ									lion cub
ⲙⲟⲩⲕ							vb. Tr.		to destroy
ⲙⲟⲩⲕ							vb. Intr.		to be destroyed
ⲙⲟⲩⲕϩ				ⲙⲉⲕϩ-	ⲙⲟⲕϩ=		vb. Tr.		to afflict, oppress (ⲙⲙⲟ/)
ⲙⲟⲩⲕϩ				ⲙⲉⲕϩ-	ⲙⲟⲕϩ=		reflex.		to be afflicted, oppressed; to humble oneself
ⲙⲟⲩⲗϩ				ⲙⲉⲗϩ-	ⲙⲟⲗϩ=	ⲙⲟⲗϩ	vb. Tr.		to make salty; to convert to salt (ⲙⲙⲟ/)
ⲙⲟⲩⲗϩ				ⲙⲉⲗϩ-	ⲙⲟⲗϩ=		Q		to be salty
ⲙⲗϩ	ⲙⲉⲗϩ,  ⲙⲏⲣϩ						n.		salt
ⲧ.ⲙⲉⲗϩⲉ							n. f.		saltiness
ⲡ.ⲙⲟⲩⲗϩ	ⲙⲟⲩⲗⲁϩ, ⲙⲟⲩⲣϩ						n. m.		wax; candle; honey-comb
ⲙⲟⲩⲗϩ					ⲙⲟⲗϩ=	ⲙⲟⲗϩ	vb. Tr.		to involve, enmesh (ⲙⲙⲟ/)
ⲙⲟⲩⲗϩ					ⲙⲟⲗϩ=	ⲙⲟⲗϩ	vb. Intr.		to become hooked into, attached to (e, ⲙⲙⲟ/, ϩⲛ)
ⲙⲟⲩⲛ						ⲙⲏⲛ (ⲙⲏⲛⲉ)	vb. Intr.		with Circum.: to continue doing
ⲡ.ⲙⲟⲩⲛ							n. m.		(+/- ⲉⲃⲟⲗ) perseverance, continuing
ϩⲛ ⲟⲩⲙⲟⲩⲛ ⲉⲃⲟⲗ									continuously
ⲙⲟⲩⲛⲕ	ⲙⲟⲩⲛⲅ  ⲙⲟⲛⲅ=			ⲙⲉⲛⲕ-	ⲙⲟⲛⲕ=	ⲙⲟⲛⲅ	vb. Tr.		to form, fashion, make (ⲙⲙⲟ/)
ⲡ.ⲙⲟⲩⲛⲕ	ⲙⲟⲩⲛⲅ  ⲙⲟⲛⲅ=			ⲙⲉⲛⲕ-	ⲙⲟⲛⲕ=		n. m.		thing made; formation, fashioning; fashion, make
ⲙⲟⲩⲛⲕ ⲛ ϭⲓϫ									handmade objects
ⲁⲧⲙⲟⲩⲛⲕ ⲛ ϭⲓϫ									not handmade
ⲙⲟⲩⲟⲩⲧ				ⲙⲉⲩⲧ-	ⲙⲟⲟⲩⲧ=		vb. Tr.		to kill (ⲙⲙⲟ/)
ⲣⲉϥⲙⲟⲩⲟⲩⲧ									killer
ⲙⲟⲩⲣ	ⲙⲣ-			ⲙⲉⲣ-	ⲙⲟⲣ=	ⲙⲏⲣ	vb. Tr.	p. c. mar-	to bind, tie (ⲙⲙⲟ/; to: ⲙⲙⲟ/, e, ⲉϫⲛ, ϩⲛ; with: ⲙⲙⲟ/, ϩⲛ)
ⲙⲟⲩⲣ ⲙⲙⲟ_ ⲙ ⲡⲉⲥⲭⲏⲙⲁ									to gird in monastic habit; to bind by oath, adjure
ⲙⲟⲩⲣ ⲙⲙⲟ_ ⲙ ⲡⲉⲥⲭⲏⲙⲁ							Q		to be bound, girt
ⲡ.ⲙⲟⲩⲣ	ⲙⲣ-			ⲙⲉⲣ-	ⲙⲟⲣ=		n. m.		band, strap, girding
ⲙⲟⲩⲣ ⲙⲛ									to be at enmity with
ⲙⲁ ⲙ ⲙⲟⲩⲣ									prison
ⲡ.ⲙⲁⲣ	ⲙⲁⲁⲣ, ⲙⲉⲣ, ⲙⲏⲣ						n. m.		bundle
ⲧ.ⲙⲁⲓⲣⲉ	ⲙⲏⲣⲉ						n. f.		bundle
ⲧ.ⲙⲣⲣⲉ							n. f.		chain, bond, joint
ⲧ.ⲙⲟⲣⲥ							n. f.	cpds. Mar-	binding, restriction; purse
ⲡ.ⲙⲟⲩⲥ							n. m.		strap, band; belt, girdle; thong
ⲣⲉϥⲧⲁⲙⲓⲉ-ⲙⲟⲩⲥ									strap-maker
ⲙⲟⲩⲥⲕ					ⲙⲁⲥⲕ=	ⲙⲟⲥⲕ	vb. Tr.		to strike (ⲙⲙⲟ/)
ⲡ.ⲙⲟⲩⲧ	ⲙⲟⲧⲉ						n. m.		sinew, nerve; joint; neck, shoulders
ⲙⲟⲩⲧⲉ							vb. Intr.	see Vocab. 17 for usage	to call, name (e, rarely ⲙⲙⲟ/)
ⲡ.ⲙⲟⲩⲧⲉ							n. m.		call, incantation
ⲣⲉϥⲙⲟⲩⲧⲉ									enchanter
ⲙⲛⲧⲣⲉϥⲙⲟⲩⲧⲉ									enchantment
ⲙⲟⲩⲧⲉ ⲉϫⲛ_ⲟⲩⲃⲉ									to call upon, to
ⲙⲟⲩⲧⲉ ⲉⲃⲟⲗ									to call out; to summon
ⲙⲟⲩⲧⲉ ⲉϩⲟⲩⲛ									to call in (to: ⲉ); to invite in
ⲙⲟⲩϣⲧ				ⲙⲉϣⲧ-	ⲙⲟϣⲧ=	ⲙⲟϣⲧ	vb. Tr.	p. c. mas=t-	to examine, search out (ⲙⲙⲟ/); to visit
ⲙⲟⲩϣⲧ				ⲙⲉϣⲧ-	ⲙⲟϣⲧ=		reflex.		(+/- ⲉⲃⲟⲗ) to reflect, ponder
ⲡ.ⲙⲟⲩϣⲧ				ⲙⲉϣⲧ-	ⲙⲟϣⲧ=		n. m.		consideration, opinion
ⲁⲧⲙⲟϣⲧ_									inscrutible
ⲙⲟⲩϩ	ⲙⲁϩ-  ⲙⲟϩ=			ⲙⲉϩ-	ⲙⲁϩ=	ⲙⲉϩ (ⲙⲏϩ)	vb. Tr.		to fill (ⲙⲙⲟ/; with: ⲙⲙⲟ/, ϩⲛ, ⲉⲃⲟⲗ ϩⲛ); to fulfill, complete; to pay, repay (debt: ⲙⲙⲟ/ +/- ⲉⲃⲟⲗ; with: ϩⲛ; person: obj. suff. Only)
ⲙⲟⲩϩ	ⲙⲁϩ-  ⲙⲟϩ=			ⲙⲉϩ-	ⲙⲁϩ=	ⲙⲉϩ (ⲙⲏϩ)	vb. Intr.		to become full, filled (of, with: ⲙⲙⲟ/, ϩⲛ, ha, hitⲛ); to get paid; + ⲉϩⲣⲁⲓ to flood (of the Nile)
ⲡ.ⲙⲟⲩϩ	ⲙⲁϩ-  ⲙⲟϩ=			ⲙⲉϩ-	ⲙⲁϩ=		n. m.		fullness, contents; inundation
ⲙⲉϩ-ⲣⲱ_									to fill the mouth (with: ⲙⲙⲟ/, ϩⲛ, e, ⲉϫⲛ)
ⲙⲉϩ-ⲧⲟⲟⲧ_									to fill hand, seize (ⲙⲙⲟ/)
ⲙⲉϩϩⲏⲧ									to become sated
ⲙⲉϩ-							ordinal prefix	See §30.7.	
ⲙⲟⲩϩ							vb. Intr.		to look (at: ⲉ)
ⲙⲟⲩϩ							vb. Intr.		to burn, glow (with fuel: ⲙⲙⲟ/)
ⲙⲟⲩϫϭ	ⲙⲟⲩϫⲕ, ⲙⲟⲩϫⲧ, ⲙⲟϫⲕ=, ⲙⲟϫⲧ=			ⲙⲉϫⲧ-	ⲙⲟϫϭ=	ⲙⲟϫϭ (ⲙⲟϫⲧ, ⲙⲁϫⲧ)	vb. Tr.		to mix (ⲙⲙⲟ/; with: ⲙⲛ)
ⲙⲟⲩϫϭ	ⲙⲟⲩϫⲕ, ⲙⲟⲩϫⲧ, ⲙⲟϫⲕ=, ⲙⲟϫⲧ=			ⲙⲉϫⲧ-	ⲙⲟϫϭ=	ⲙⲟϫϭ (ⲙⲟϫⲧ, ⲙⲁϫⲧ)	vb. Intr.		to be mixed (with: ⲉ, ⲙⲛ, hi, ϩⲛ)
ⲡ.ⲙⲟⲩϫϭ	ⲙⲟⲩϫⲕ, ⲙⲟⲩϫⲧ, ⲙⲟϫⲕ=, ⲙⲟϫⲧ=			ⲙⲉϫⲧ-	ⲙⲟϫϭ=		n. m.		mixture
ⲣⲉϥⲙⲟⲩϫϭ									mixer, confuser, disturber
ⲙⲟϣⲧⲉ	ⲙⲟⲟϣⲧⲉ						n. pl.		parts, neighborhood
ⲙⲟⲟϣⲉ									parts, neighborhood
ⲡ.ⲙⲟϫϩ	ⲙⲁϫϩ, ⲙⲟϫⲕϩ  (ⲁⲛⲇ -ϥ ϥⲟⲣ -ϩ)						n. m.		girdle (of monk or soldier)
ⲡ.ⲙⲡⲁⲓ							n. m.		spindle
ⲙⲡⲉ							neg. part.		It was not so (in answer to question in past tense)
ϫⲛ ⲙⲡⲉ									or not (in double question, coord. With preceding positive statement)
ⲉϣⲱⲡⲉ ⲙⲡⲉ									if not
ⲙⲡⲟ	ⲉⲙⲡⲟ, ⲉⲃⲱ	ⲏⲙⲡⲱ					adj.		dumb, mute
ⲙⲛⲧⲙⲡⲟ									muteness
ⲣ-ⲙⲡⲟ						ⲟ ⲛ			to become mute
ⲙⲡⲱⲣ							excla. Imptv. Part.	Also used like =mp=r- as prefix for neg. imptv. See §17.1.; 30.1.	Don't! By no means! No!
ⲙⲡϣⲁ	ⲉⲙⲡϣⲁ, ⲙϣⲁ						vb. Intr.		to be worthy, deserving (of: ⲙⲙⲟ/; of doing: ⲛ, e + Inf.)
ⲡ.ⲙⲡϣⲁ	ⲉⲙⲡϣⲁ, ⲙϣⲁ						n. m.		worth, deserts, fate
ⲁⲧⲙⲡϣⲁ									worthless, undeserving
ⲙⲛⲧⲁⲧⲙⲡϣⲁ									unworthiness
ⲣ-(ⲡ)ⲙⲡϣⲁ									to become worthy, deserving
ⲡ.ⲙⲣⲓⲥ							n. m.		new wine, must
ⲙⲣⲟϣ	('ⲙⲣⲁϣ)					ⲙⲟⲣϣ	vb. Intr.		to become red/yellow
ⲙⲏⲣϣ	ⲙⲉⲣϣ, ⲙⲣϣ						adj.		red, ruddy
ⲣ-ⲙⲏⲣϣ						ⲟ ⲛ			to be ruddy
ⲧ.ⲙⲣⲱ	ⲉⲙⲣⲱ, ⲉⲙⲡⲣⲱ		ⲙⲣⲟⲟⲩⲉ				n. f.		harbor, landing stage
ⲡ.ⲙⲣⲱⲙ	ⲟⲩⲣⲱⲙ, ⲟⲩⲗⲱⲙ						n. m.		pillow
ⲡ.ⲙⲥⲁϩ			ⲙⲥⲟⲟϩ				n. m.		crocodile
ⲧ.(ⲙⲥⲱⲃⲉ)	ⲉⲙⲥⲱⲃⲉ, ⲙⲥⲱⲡⲉ						n. f.		large needle
ⲡ.ⲙⲧⲟ							n. m.		presence
ⲙ ⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲛ	ⲙ ⲡ(=)ⲙⲧⲟ ⲉⲃⲟⲗ								in the presence of, before
ⲙⲧⲟⲛ	ⲉⲙⲧⲟⲛ					ⲙⲟⲧⲛ	vb. Intr.		to become at ease, at rest, content, relieved, well
ⲙⲟⲧⲛ							Q		also: to be easy (to do: ⲉ + Inf.); often impers. It is easy (e, etre)
ⲙⲧⲟⲛ	ⲉⲙⲧⲟⲛ						vb. Reflex.		(with ⲙⲙⲟ/) to rest self; to go to rest, die
ⲡ.ⲙⲧⲟⲛ	ⲉⲙⲧⲟⲛ						n. m.		rest, ease, relief
ⲙⲁⲓ-ⲙⲧⲟⲛ									loving ease
ⲙⲁ ⲛ ⲙⲧⲟⲛ									a place to rest
ⲣ-ⲡ(_)ⲙⲧⲟⲛ									to be or put at ease
ⲙⲧⲟⲛ ⲛ ϩⲏⲧ									to become content
ⲡ.ⲙⲧⲟⲛ ⲛ ϩⲏⲧ							n. m.		rest, satisfaction
ϯ-ⲙⲧⲟⲛ ⲛⲁ_									to set at ease, give rest/respite to
ϯⲓ-ⲙⲧⲟⲛ									to get rest, be relieved
ⲡ.ⲙⲟⲧⲛ							n. m.		health, ease
ⲧ.ⲙⲟⲧⲛⲉⲥ							n. f.		ease, contentment
ϯ-ⲙⲟⲧⲛⲉⲥ ⲛⲁ_									to give relief to
ⲣ-ⲙⲟⲧⲛⲉⲥ ⲛⲁ_									to give relief to
ϫⲓ-ⲙⲟⲧⲛⲉⲥ									to get relief
ϩⲛ ⲟⲩⲙⲟⲧⲛⲉⲥ									wih ease, easily
ⲙⲟⲩⲧⲛ  ⲙⲉⲧⲛ-  ⲙⲟⲧⲛ_							vb. Tr.	also reflex.	to set at rest (ⲙⲙⲟ/)
ⲙⲧⲱ	ⲉⲙⲧⲱ, ⲙⲧⲟ						n. m. f.		depth (of the sea)
ⲃⲱⲕ ⲛ ⲙⲧⲱ									to founder, sink
ϭⲓⲛⲃⲱⲕ ⲛ ⲙⲧⲟ									shipwreck
ⲙϣⲓⲣ	ⲉⲙϣⲓⲣ, ⲙⲉϣⲓⲣ						n.		name of 6th Coptic month
ⲧ.ⲙϣⲧⲱⲧⲉ	ⲙⲓϣⲧⲱⲧⲉ						n. f.		comb
ⲡ.ⲙϩⲁⲁⲩ	ⲙϩⲁⲟⲩ						n. m.		tomb, cavern
ⲡ.ⲙϩⲓⲧ	ⲉⲙϩⲓⲧ						n. m.		north
ⲉ ⲡⲉⲙϩⲓⲧ									northward
ⲙ ⲡⲉⲙϩⲓⲧ ⲛ									on the north of
ⲥⲁ-ⲙϩⲓⲧ									(on) the north side
ⲧⲏⲩ ⲛ ⲙϩⲓⲧ									northwind
ⲧ.ⲙϫⲁϩⲧ	ⲙϫⲁⲧϩ, ⲙϫⲁϩϫ						n. f.		mortar (vessel)
ⲡ.ⲙϫⲱⲗ	ⲉⲙϫⲱⲗ						n. m.		onion
ⲛ							prep.	see 2.3.	marks genitive
ⲛ 	(ⲛⲁ=)						prep.	dative; see 10.2.	to, for
ⲙⲁ ⲛⲁⲓ_									give me (+pron. Suffix).
ⲛ									linking noun and adjective (15.1.), noun and noun (23.2.)
ⲛ									linking noun to proleptic suffix (10.4.)
ⲛ … ⲁⲛ									negation
ⲛ (ⲙⲙⲟ_)					(ⲙⲙⲟ=)		prep.		(1) place: in, into, from in; (2) time: in, on, during; (3) agent, instrument: with, by; (4) used to form adverbs (s.v.); (5) ⲉⲃⲟⲗ ⲛ - out of, from within; (6) as marker of direct object (10.1.); (7) partitive: of
ⲛⲁ	ⲛⲁⲁ, ⲛⲁⲉ, ⲛⲁⲓ						vb. Intr.		to have pity (on: ⲛⲁ/, ha)
ⲡ.ⲛⲁ	ⲛⲁⲁ, ⲛⲁⲉ, ⲛⲁⲓ						n. m.		pity, mercy, charity
ⲉⲓⲣⲉ ⲛ ⲟⲩⲛⲁ	ⲣ-ⲡⲛⲁ								to treat charitably, kindly (ⲙⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ)
ⲁⲧⲛⲁ									pitiless
ⲣ-ⲁⲧⲛⲁ						ⲟ ⲛ			to become pitiless
ⲙⲛⲧⲛⲁ									pity, charity
ⲣ-ⲙⲛⲧⲛⲁ									to do charity
ⲥⲣ-ⲙⲛⲧⲛⲁ									to distribute charity
ϫⲓ-ⲙⲛⲧⲛⲁ									to receive charity
ϣⲁ(ⲁ)ⲧ-ⲙⲛⲧⲛⲁ									to ask for charity
ⲛⲁ-ⲏⲧ							adj. 		compassionate
ⲣ-ⲛⲁ-ⲏⲧ									to be compassionate
ⲙⲁⲓ-ⲛⲁ-ⲏⲧ									charity-loving
ⲙⲛⲧⲛⲁ-ⲏⲧ									pity, charity
ⲛⲁ							vb. Intr.		to go (to: ⲉ, erat/)
ⲛⲁ ⲉ ⲧⲱⲛ									to go whither?
ⲛⲁ ⲉϩⲟⲩⲛ									to enter (e, sa)
ⲛⲁ ⲉϩⲣⲁⲓ									to go up
ⲛⲁ … ⲛⲏⲩ									to come and go
ⲛⲁⲁ-	(ⲛⲁⲉ-)			ⲛⲁⲁ-	ⲛⲁⲁ=		pred. adj.	29.2.	to be great
ⲧ.ⲛⲁⲉⲓⲱ	ⲛⲁⲓⲱ, ⲛⲉⲓⲱ						n. f.		peg, stake
ⲧ.ⲛⲁⲁⲕⲉ							n. f.		labor pains; pains in general
ϯ-ⲛⲁⲁⲕⲉ									to be in labor (with: ⲙⲙⲟ/)
ⲛⲁⲛⲟⲩ-	(ⲛⲁⲛⲉ-)			ⲛⲁⲛⲟⲩ-	ⲛⲁⲛⲟⲩ=		pred. adj.		to be good, fair, just
ⲛⲁⲛⲟⲩⲥ									impers. it is good, right (e, etre)
ⲡⲉⲧ ⲛⲁⲛⲟⲩϥ									that which is good
ⲙⲁⲓⲡⲉⲧ ⲛⲁⲛⲟⲩϥ									loving what is good
ⲣ-ⲡⲉⲧ ⲛⲁⲛⲟⲩϥ									to do good (to: ⲛⲁ/; ⲙⲛ)
ⲣⲉϥⲣⲡⲉⲧ ⲛⲁⲛⲟⲩϥ									benefactor
ⲙⲛⲧⲣⲉϥⲣ-ⲡⲉⲧⲛⲁⲛⲟⲩϥ									benefaction
ⲧ.ⲛⲁⲡⲣⲉ	ⲛⲉⲡⲣⲉ						n. f.		grain, seed
ⲡ.ⲛⲁⲧ	ⲛⲉⲧ, ⲛⲏⲧ						n. m.		loom, web
ⲛⲁⲩ							vb. Tr.	imptv. Anau	to look at, see, behold (e; that: je); to seek out, get
ⲛⲁⲩ ⲉⲃⲟⲗ									to be able to see (i.e. not be blind)
ⲡ.ⲛⲁⲩ ⲉⲃⲟⲗ							n. m.		sight, vision, view
ⲁⲧⲛⲁⲩ ⲉⲣⲟ_									unseen, unseeable
ⲣⲉϥⲛⲁⲩ									seer
ⲡ.ⲛⲁⲩ							n. m.		time, hour
ⲡⲛⲁⲩ ⲛ ϣⲱⲣⲡ	ⲡⲛⲟⲩ ⲛ ϣⲱⲣⲡ								early morning
ⲡⲛⲁⲩ ⲙ ⲙⲉⲉⲣⲉ	ⲡⲛⲟⲩ ⲙ ⲙⲉⲉⲣⲉ								noon
ⲡⲛⲁⲩ ⲛ ⲣⲟⲩϩⲉ	ⲡⲛⲟⲩ ⲛ ⲣⲟⲩϩⲉ								evening
ⲟⲩⲛⲟϭ ⲛ ⲛⲁⲩ									a long time
ⲛ ⲛⲁⲩ ⲛⲓⲙ									always
ⲛ ⲁϣ ⲛ ⲛⲁⲩ									when?
ⲙ ⲡⲉⲓⲛⲁⲩ									at that time, just then
ϣⲁ ⲡⲛⲁⲩ									until (+ Rel.)
ϫⲓⲛ ⲛⲁⲩ									since, from the time that ( + Rel.)
ⲣ-ⲛⲁⲩ									to become time
ⲧⲛⲁⲩ	ⲧⲛⲛⲁⲩ								when?
ϣⲁ ⲧⲛⲛⲁ									until when?
