Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲃⲱⲗ	ⲃⲉⲗ-, ⲃⲟⲗ=					ⲃⲏⲗ	vb. Intr.		to be(come) loosened, undone, loose, scattered, melted, dissolved, weakened, paralysed, faint; to become dissolute; to be terminated, to die, perish
ⲃⲱⲗ	ⲃⲉⲗ-, ⲃⲟⲗ=						n. m. 		solution, interpretation (not + ⲉⲃⲟⲗ); weakening, slackening; laxness, unrestraint; dissolution, destruction
ⲃⲱⲗ									to come to terms with
ⲁⲧⲃⲱⲗ ⲉⲃⲟⲗ									indessoluble, unending
ⲣⲉϥⲃⲱⲗ									interpreter
ⲡ.ⲃⲟⲗ							n. m.		the outside
ⲡⲃⲟⲗ, ⲙ ⲡⲃⲟⲗ							prep.		on or to the outside of, outside; independent of, beyond, free from; contrary to
ⲉⲃⲟⲗ							adv.		out, outward away; usu. With verbs, but occasionally after prep. Phrases with sense: onward, and so on, henceforth; for ⲉⲃⲟⲗ + prep. See sub prep.
ⲉⲃⲟⲗ ϫⲉ							conj.		because
ⲛ ⲃⲟⲗ							adj. phr.		outer, external
ⲛ ⲃⲟⲗ							adv.		outside, extant, in existence
ⲥⲁⲃⲟⲗ	ⲥⲁ ⲛ ⲃⲟⲗ, ⲛ ⲥⲁⲃⲟⲗ, ⲛ ⲥⲁ ⲛ ⲃⲟⲗ, ⲙ ⲡⲥⲁ ⲛ ⲃⲟⲗ						prep.		(+ ⲛ, e) outside of, beyond, away from;
ⲥⲁⲃⲟⲗ	ⲥⲁ ⲛ ⲃⲟⲗ, ⲛ ⲥⲁⲃⲟⲗ, ⲛ ⲥⲁ ⲛ ⲃⲟⲗ, ⲙ ⲡⲥⲁ ⲛ ⲃⲟⲗ						adv.		outside, on the outside
ϣⲁⲃⲟⲗ							prep.		(+ ⲛ) to the outside of
ϣⲁⲃⲟⲗ							adv.		to the end, forever, finally, utterly
ϩⲁⲃⲟⲗ ⲛ							prep.		from, away from
ϩⲓⲃⲟⲗ							adv.		outside, on the outside, from the outside
ϩⲓⲃⲟⲗ							prep.		(ⲛ) outside of, beyond, except for
ⲉⲧ ϩⲓⲃⲟⲗ							adj. phr.		external
ⲣ-ⲃⲟⲗ	ⲣ-ⲡⲃⲟⲗ						vb. Intr.		to avoid, escape (from: ⲉ, ⲛ, ϩⲛ)
ⲕⲁ-ⲃⲟⲗ							vb. Tr.		to vomit (ⲙⲙⲟ/)
ⲛ ⲥⲁⲃⲏⲗ ⲉ_ⲛ							prep.		except for, outside of
ⲛ ⲥⲁⲃⲏⲗ ⲉ_ⲛ							conj.		except that
ⲛ ⲥⲁⲃⲏⲗ ϫⲉ									except that, unless, if not
ⲃⲗ (ⲛⲃⲗⲗⲁ_)							prep.		(+/- ⲛ) without, except for, beyond
ⲃⲱⲱⲛ							adj.	mainly in fixed expressions such as c]-bwwn (ctoi), cou-bwwn (ciou), s=r-bwwn (syre), [auon bwwn	bad
ⲧ.ⲃⲟⲟⲛⲉ							n. f.		evil, misfortune
ⲣ-ⲃⲟⲟⲛⲉ									to act badly, evilly (toward: ⲛⲁ/)
ⲙⲛⲧⲣⲉϥⲣ-ⲃⲟⲟⲛⲉ									evil-doing
ⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									the evil-eye
ⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ							adj.		envious, greedy
ⲙⲛⲧⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									envy, greed
